parameter,mapping,abbrev,desc,unit,unit_desc
2,NOX,NO_X,Ossidi di azoto,ppb,
3,NO,NO,Monossido di azoto,ppb,
4,O3,O_3,Ozono,ppb,
5,CO,CO,Monossido di carbonio,ppm,
9,NO2,NO_2,Biossido di azoto,ppb,
10,T_EST,T_{EST},Temperatura esterna dell’aria,°C,
12,SRH,SRH,Umidità relativa,%,
13,BAR,BAR,Pressione atmosferica,hPa,
14,RAD,RAD,Radiazione solare,W/m2,
15,DIR_V,DIR_V,Direzione del vento,°,
21,VEL_V,VEL_V,Velocità del vento,m/sec,
22,PRECI,PRECI,Intensità di precipitazione,mm,
27,PM10,PM_{10},Particolato inferiore a 10 µm,µg/m³,
80,PM2_5,PM_{2.5},Particolato inferiore a 2.5 µm,µg/m³,
