id,processedId,dataType,unit,description,rtype,toProcess
1,101,CO2,,CO2,Mean,False
2,2,temperature-external,°C,Temperatura,Mean,False
3,3,RH,,Umidità relativa,Mean,False
7,7,temperature-internal,°C,Temperatura interna,Mean,False
8,102,O3,,O3,Mean,True
9,103,NO2,,NO2,Mean,False
10,104,CO,,CO,Mean,False
11,105,VOC,,VOC,Mean,False
12,108,PM10,,PM10,Mean,True
13,109,PM2.5,,PM2.5,Mean,True
14,110,NO2-Alphasense,,NO2 (Alphasense),Mean,True
15,111,NO-Alphasense,,NO (Alphasense),Mean,True
16,112,NO2-Orion,,NO2 (Orion),Mean,False
